tenure_months,contract,internet_service,monthly_charges,churn
40,Month-to-month,DSL,28.16,0
72,One year,Fiber optic,67.65,0
15,Two year,Fiber optic,55.16,0
25,Two year,Fiber optic,74.02,1
11,Month-to-month,DSL,38.36,0
29,One year,Fiber optic,55.92,0
41,Month-to-month,DSL,53.79,0
58,One year,DSL,45.12,0
26,Two year,No,9.98,1
56,Two year,Fiber optic,55.72,0
45,Month-to-month,Fiber optic,72.49,0
21,Month-to-month,DSL,24.95,1
66,Month-to-month,Fiber optic,72.73,0
31,Month-to-month,Fiber optic,86.07,0
11,Month-to-month,No,33.0,1
70,Two year,DSL,37.52,0
66,Month-to-month,DSL,48.29,0
3,Month-to-month,Fiber optic,54.98,0
65,One year,DSL,46.64,0
69,Month-to-month,Fiber optic,66.08,0
60,Month-to-month,Fiber optic,57.53,1
18,Two year,Fiber optic,77.48,0
46,Month-to-month,DSL,21.27,0
39,Month-to-month,Fiber optic,55.77,1
45,One year,DSL,32.21,0
45,Month-to-month,DSL,38.94,0
46,Month-to-month,DSL,60.59,1
37,Month-to-month,Fiber optic,79.05,0
50,Month-to-month,DSL,46.26,0
38,Two year,DSL,45.7,0
1,Month-to-month,Fiber optic,69.86,1
2,Month-to-month,Fiber optic,86.46,1
69,Month-to-month,DSL,23.21,0
66,Two year,DSL,54.26,0
42,Month-to-month,No,18.9,0
12,Two year,Fiber optic,76.04,1
57,Month-to-month,Fiber optic,76.09,0
10,Two year,Fiber optic,78.8,0
27,Month-to-month,No,44.0,1
24,Month-to-month,DSL,28.55,0
0,Month-to-month,No,37.07,0
58,Month-to-month,DSL,44.23,0
37,One year,Fiber optic,64.47,0
23,One year,DSL,69.41,0
37,One year,Fiber optic,78.42,1
0,Month-to-month,Fiber optic,64.99,1
31,One year,Fiber optic,81.49,1
37,Month-to-month,Fiber optic,69.45,0
24,Two year,Fiber optic,64.81,1
60,One year,No,17.73,0
18,One year,DSL,48.65,0
10,Two year,DSL,37.63,0
38,One year,Fiber optic,71.87,0
64,One year,DSL,55.64,0
27,Month-to-month,Fiber optic,71.33,1
3,One year,Fiber optic,93.72,1
70,Month-to-month,Fiber optic,70.16,0
32,Month-to-month,Fiber optic,86.19,1
12,Two year,DSL,56.72,0
44,Month-to-month,DSL,63.3,0
23,One year,Fiber optic,93.67,0
68,Month-to-month,DSL,23.86,0
21,Month-to-month,Fiber optic,73.18,1
40,Two year,Fiber optic,68.66,0
39,Month-to-month,DSL,46.34,0
17,One year,DSL,40.23,0
36,One year,DSL,38.48,0
7,Two year,Fiber optic,56.8,0
46,Month-to-month,DSL,46.17,0
55,One year,Fiber optic,81.21,0
69,Month-to-month,Fiber optic,64.08,0
23,Month-to-month,Fiber optic,66.06,0
20,Month-to-month,Fiber optic,61.62,1
40,Month-to-month,Fiber optic,58.07,0
50,Month-to-month,Fiber optic,67.17,0
72,Month-to-month,DSL,49.12,0
1,Month-to-month,Fiber optic,85.09,1
17,One year,Fiber optic,55.69,0
19,Month-to-month,No,24.64,0
18,Month-to-month,DSL,59.14,0
33,Month-to-month,Fiber optic,55.85,1
63,Month-to-month,Fiber optic,,0
2,One year,Fiber optic,64.73,1
59,Two year,No,33.54,0
45,One year,Fiber optic,67.38,0
44,One year,Fiber optic,75.5,0
49,Month-to-month,DSL,64.31,0
8,Two year,DSL,43.54,0
54,Month-to-month,Fiber optic,81.96,0
18,Month-to-month,Fiber optic,73.3,0
37,Month-to-month,Fiber optic,60.57,0
49,Month-to-month,Fiber optic,68.25,0
44,One year,Fiber optic,67.5,0
23,Month-to-month,DSL,28.06,0
28,Month-to-month,DSL,50.51,0
34,Month-to-month,DSL,52.9,0
3,Two year,DSL,54.75,0
53,One year,DSL,62.16,0
7,Two year,Fiber optic,81.45,0
33,Two year,DSL,37.76,0
47,Two year,Fiber optic,65.32,1
5,Month-to-month,Fiber optic,80.07,0
72,Month-to-month,Fiber optic,74.68,0
27,Month-to-month,DSL,44.79,0
1,Month-to-month,DSL,34.5,0
48,One year,Fiber optic,63.63,0
40,Month-to-month,Fiber optic,76.99,1
46,Month-to-month,DSL,21.59,0
54,One year,Fiber optic,41.92,1
34,Month-to-month,Fiber optic,78.32,1
60,Month-to-month,DSL,38.6,0
27,Month-to-month,DSL,50.62,0
39,One year,Fiber optic,88.92,1
11,Month-to-month,Fiber optic,57.84,0
45,Month-to-month,No,4.96,0
19,Month-to-month,Fiber optic,66.68,0
50,One year,DSL,36.78,0
58,Month-to-month,DSL,44.7,0
62,Month-to-month,DSL,51.46,0
67,Two year,Fiber optic,73.92,0
8,Two year,Fiber optic,70.56,0
10,Month-to-month,Fiber optic,82.7,1
67,Month-to-month,Fiber optic,78.05,0
27,Month-to-month,Fiber optic,67.82,0
1,One year,Fiber optic,77.62,1
20,Month-to-month,Fiber optic,51.45,0
61,Two year,DSL,57.76,0
25,Two year,Fiber optic,70.27,0
5,One year,Fiber optic,55.59,1
52,Month-to-month,Fiber optic,65.0,0
14,Two year,DSL,57.45,0
25,One year,Fiber optic,60.79,0
0,One year,DSL,49.93,0
43,Month-to-month,Fiber optic,80.55,0
32,One year,DSL,45.29,0
63,Two year,DSL,34.62,0
24,Two year,DSL,44.23,0
14,One year,DSL,28.09,0
12,Month-to-month,No,19.14,0
14,Month-to-month,Fiber optic,56.71,0
32,One year,Fiber optic,69.44,0
6,Two year,No,9.77,0
29,One year,DSL,46.0,0
62,Month-to-month,DSL,58.59,0
56,Month-to-month,Fiber optic,84.35,0
46,One year,Fiber optic,55.05,0
65,Two year,DSL,37.01,1
56,Month-to-month,DSL,55.23,0
47,Month-to-month,Fiber optic,78.45,0
63,Two year,Fiber optic,62.62,0
9,Month-to-month,DSL,39.16,0
59,Month-to-month,DSL,45.99,0
21,Month-to-month,No,3.0,0
53,Month-to-month,Fiber optic,76.3,0
66,Month-to-month,Fiber optic,83.0,0
36,One year,Fiber optic,65.33,0
6,One year,DSL,27.97,0
27,One year,Fiber optic,86.95,1
29,One year,Fiber optic,72.63,0
68,Month-to-month,Fiber optic,78.51,0
68,Month-to-month,Fiber optic,54.15,0
41,Month-to-month,DSL,29.19,0
69,Month-to-month,Fiber optic,74.97,0
31,One year,Fiber optic,82.33,0
30,Month-to-month,DSL,31.45,1
61,One year,Fiber optic,,0
48,Month-to-month,DSL,25.95,0
38,Month-to-month,DSL,36.58,0
33,Month-to-month,DSL,41.92,0
51,Month-to-month,DSL,50.87,0
55,One year,DSL,19.73,0
35,Two year,No,40.84,0
2,Month-to-month,DSL,42.95,1
7,One year,Fiber optic,85.53,1
10,One year,DSL,53.38,0
33,Month-to-month,DSL,55.23,0
44,Month-to-month,Fiber optic,94.24,0
58,Month-to-month,Fiber optic,60.62,0
16,Month-to-month,DSL,46.63,1
57,Two year,Fiber optic,58.11,1
48,Month-to-month,DSL,43.77,0
3,Month-to-month,No,33.64,0
25,One year,Fiber optic,83.53,1
22,Month-to-month,Fiber optic,65.41,0
64,One year,No,10.54,0
67,Month-to-month,Fiber optic,70.88,0
59,Month-to-month,DSL,34.77,0
38,Month-to-month,Fiber optic,63.07,0
35,Month-to-month,Fiber optic,78.06,1
22,Month-to-month,Fiber optic,75.83,0
56,One year,Fiber optic,80.01,0
6,One year,No,20.95,0
19,One year,Fiber optic,82.11,0
9,Month-to-month,Fiber optic,70.17,0
36,Two year,DSL,41.59,1
21,Month-to-month,No,11.81,1
14,Two year,Fiber optic,44.92,0
27,One year,DSL,26.23,0
62,One year,Fiber optic,72.59,0
40,Month-to-month,DSL,34.11,0
60,One year,DSL,25.26,0
66,One year,DSL,39.97,0
65,Month-to-month,DSL,48.36,0
25,One year,No,29.98,0
64,Month-to-month,Fiber optic,69.65,0
66,Month-to-month,DSL,44.27,0
70,One year,DSL,38.54,0
25,Two year,Fiber optic,77.61,0
16,Month-to-month,No,22.88,0
42,Month-to-month,DSL,44.08,0
68,Month-to-month,DSL,57.45,0
65,Month-to-month,Fiber optic,79.5,0
41,Month-to-month,DSL,42.78,0
10,Month-to-month,Fiber optic,66.08,1
30,One year,No,20.98,0
52,Month-to-month,Fiber optic,45.74,0
40,Month-to-month,DSL,58.16,0
25,Month-to-month,Fiber optic,61.78,0
25,Month-to-month,DSL,55.26,0
4,Month-to-month,Fiber optic,70.5,1
21,Month-to-month,DSL,61.7,0
48,Month-to-month,DSL,51.35,0
17,Month-to-month,Fiber optic,80.95,1
72,One year,DSL,37.9,0
6,Two year,DSL,29.58,1
42,Month-to-month,Fiber optic,,0
36,Month-to-month,Fiber optic,46.99,0
60,Month-to-month,Fiber optic,64.38,0
64,Month-to-month,Fiber optic,55.73,0
39,One year,DSL,34.92,0
46,One year,DSL,52.15,0
51,Month-to-month,Fiber optic,76.36,1
38,Month-to-month,No,23.06,1
13,Month-to-month,Fiber optic,73.84,1
31,Month-to-month,DSL,38.51,0
17,Two year,DSL,74.12,1
33,Month-to-month,DSL,48.61,1
44,Month-to-month,DSL,37.92,0
15,Month-to-month,Fiber optic,80.5,0
18,Month-to-month,DSL,59.88,0
60,Month-to-month,DSL,35.71,0
27,Month-to-month,DSL,27.98,0
14,Month-to-month,Fiber optic,55.35,0
52,Month-to-month,DSL,36.96,1
52,One year,Fiber optic,69.35,0
60,Month-to-month,DSL,25.45,0
55,Month-to-month,DSL,39.98,0
72,Two year,Fiber optic,67.5,0
41,Month-to-month,Fiber optic,73.9,0
20,Two year,Fiber optic,77.34,1
62,Two year,Fiber optic,74.82,0
19,Month-to-month,Fiber optic,91.51,0
21,Month-to-month,Fiber optic,83.13,1
60,Two year,Fiber optic,72.66,0
64,Month-to-month,DSL,33.35,0
24,Month-to-month,DSL,36.89,0
53,One year,Fiber optic,52.86,0
67,Month-to-month,Fiber optic,71.84,0
58,Two year,DSL,48.98,0
0,One year,Fiber optic,80.71,0
48,Two year,Fiber optic,73.21,0
12,One year,Fiber optic,82.65,0
61,One year,No,37.89,0
4,Month-to-month,Fiber optic,57.66,1
72,Two year,No,18.78,0
12,Two year,Fiber optic,69.87,1
30,Two year,Fiber optic,61.53,0
17,One year,Fiber optic,67.08,0
59,One year,DSL,48.62,0
28,Month-to-month,DSL,43.52,0
54,Two year,DSL,45.0,0
4,Month-to-month,No,13.69,0
33,Month-to-month,DSL,51.08,1
66,Month-to-month,Fiber optic,75.2,0
67,One year,DSL,35.85,0
15,One year,Fiber optic,54.48,1
28,Month-to-month,DSL,59.76,1
29,Month-to-month,DSL,65.98,0
41,Month-to-month,Fiber optic,72.82,1
39,Month-to-month,Fiber optic,65.66,0
7,Month-to-month,DSL,57.56,0
55,One year,Fiber optic,75.64,0
16,Month-to-month,Fiber optic,67.47,1
22,Month-to-month,DSL,56.62,0
61,Month-to-month,Fiber optic,60.28,0
50,Month-to-month,Fiber optic,61.71,0
28,Two year,DSL,49.36,0
66,Month-to-month,Fiber optic,71.37,0
28,Month-to-month,Fiber optic,77.65,1
41,One year,No,39.32,0
17,Month-to-month,Fiber optic,51.37,1
13,Two year,Fiber optic,70.47,0
35,Two year,DSL,67.81,0
41,One year,Fiber optic,62.84,0
58,Two year,No,16.42,0
28,Month-to-month,DSL,18.11,1
65,Month-to-month,DSL,46.22,0
44,Month-to-month,Fiber optic,76.97,0
5,Month-to-month,Fiber optic,76.94,0
53,Month-to-month,DSL,32.56,0
41,Month-to-month,Fiber optic,69.9,0
28,Month-to-month,DSL,47.66,0
34,Month-to-month,DSL,45.63,0
22,One year,DSL,31.86,1
44,Month-to-month,Fiber optic,70.93,1
41,Month-to-month,DSL,35.23,1
32,Month-to-month,DSL,22.54,0
20,One year,Fiber optic,78.18,1
29,Month-to-month,DSL,46.68,0
36,One year,Fiber optic,77.1,0
34,Month-to-month,No,18.59,0
22,Month-to-month,Fiber optic,77.52,1
42,Two year,Fiber optic,82.27,0
16,Month-to-month,DSL,66.05,0
36,Month-to-month,Fiber optic,79.77,0
8,Month-to-month,Fiber optic,74.62,0
34,Month-to-month,Fiber optic,53.44,0
57,Month-to-month,DSL,43.72,0
59,Month-to-month,Fiber optic,52.93,0
50,Month-to-month,DSL,35.17,0
54,Two year,DSL,68.46,0
4,Month-to-month,DSL,32.72,0
24,Month-to-month,Fiber optic,41.89,0
47,Two year,Fiber optic,79.76,0
58,Month-to-month,No,16.92,0
42,Two year,DSL,54.22,0
62,Month-to-month,No,10.96,0
19,One year,DSL,39.89,0
11,Two year,DSL,59.35,0
6,Month-to-month,No,9.14,0
42,Two year,Fiber optic,67.97,0
48,One year,No,28.5,0
20,Two year,Fiber optic,61.37,0
57,Month-to-month,Fiber optic,72.9,0
53,Month-to-month,DSL,45.19,0
26,Month-to-month,Fiber optic,76.41,0
17,Two year,Fiber optic,92.11,1
54,Month-to-month,DSL,77.1,0
49,Month-to-month,DSL,50.56,0
12,Two year,DSL,43.68,0
18,Month-to-month,Fiber optic,75.29,1
35,One year,Fiber optic,67.21,0
37,Month-to-month,DSL,25.95,0
12,One year,DSL,44.44,0
69,Month-to-month,DSL,57.99,1
28,Month-to-month,Fiber optic,52.42,0
27,Month-to-month,Fiber optic,58.18,0
4,Month-to-month,No,18.02,1
63,Month-to-month,Fiber optic,74.47,0
17,Month-to-month,DSL,73.52,0
72,One year,Fiber optic,60.29,0
36,Month-to-month,Fiber optic,71.09,0
63,Month-to-month,DSL,45.07,0
13,Month-to-month,Fiber optic,66.39,1
12,Month-to-month,Fiber optic,69.43,1
58,One year,DSL,39.42,0
59,Month-to-month,Fiber optic,102.92,0
39,Two year,Fiber optic,79.0,0
2,One year,DSL,39.53,0
68,Two year,Fiber optic,84.2,1
28,One year,DSL,48.08,0
68,Month-to-month,Fiber optic,70.7,0
63,Two year,Fiber optic,67.82,0
62,One year,Fiber optic,67.0,0
50,One year,DSL,30.36,0
49,Month-to-month,Fiber optic,49.92,0
38,Month-to-month,No,29.45,0
1,One year,Fiber optic,67.7,0
28,Month-to-month,Fiber optic,80.53,1
53,One year,DSL,34.32,0
59,Month-to-month,Fiber optic,56.82,0
40,Month-to-month,DSL,54.31,0
51,Month-to-month,No,21.46,0
1,Month-to-month,DSL,55.27,1
34,Month-to-month,DSL,45.4,0
37,Two year,DSL,67.53,0
65,One year,Fiber optic,79.07,1
22,Two year,DSL,49.92,1
16,One year,Fiber optic,79.6,0
25,One year,Fiber optic,66.73,0
12,Month-to-month,DSL,25.29,0
40,Two year,Fiber optic,74.33,0
46,Two year,DSL,68.3,0
58,One year,Fiber optic,42.51,0
70,Month-to-month,Fiber optic,75.63,0
5,One year,DSL,26.58,0
18,Month-to-month,DSL,44.72,1
21,Month-to-month,No,25.95,0
18,One year,Fiber optic,78.96,1
60,Two year,Fiber optic,72.52,0
10,Month-to-month,Fiber optic,86.48,1
2,Month-to-month,Fiber optic,84.0,0
62,Two year,Fiber optic,67.64,0
70,Month-to-month,DSL,58.13,0
16,Month-to-month,Fiber optic,66.25,1
24,One year,No,19.18,0
36,Two year,DSL,30.55,0
38,Month-to-month,DSL,60.74,0
72,Month-to-month,Fiber optic,66.4,0
29,Month-to-month,Fiber optic,40.94,0
0,Month-to-month,Fiber optic,76.5,1
30,One year,DSL,39.79,0
40,Two year,DSL,41.42,0
37,Month-to-month,Fiber optic,67.19,0
37,Month-to-month,Fiber optic,65.96,0
67,Month-to-month,No,57.73,0
58,Month-to-month,Fiber optic,89.95,0
18,Month-to-month,Fiber optic,78.39,0
25,Month-to-month,Fiber optic,72.9,0
48,One year,Fiber optic,83.55,0
29,Month-to-month,Fiber optic,72.92,1
31,One year,DSL,54.79,0
12,Month-to-month,DSL,51.7,0
18,Two year,DSL,46.54,0
54,Two year,Fiber optic,81.28,0
61,Month-to-month,Fiber optic,64.96,0
57,Month-to-month,DSL,45.7,0
22,One year,Fiber optic,58.25,0
9,Month-to-month,Fiber optic,59.63,1
11,Month-to-month,Fiber optic,39.65,1
28,Month-to-month,DSL,50.48,0
37,Two year,Fiber optic,78.78,0
65,Month-to-month,No,38.03,0
65,Month-to-month,Fiber optic,56.77,0
0,Month-to-month,No,30.28,1
51,One year,Fiber optic,69.99,0
21,Month-to-month,DSL,53.85,0
14,Two year,Fiber optic,62.18,0
40,One year,DSL,40.96,0
2,Month-to-month,Fiber optic,51.36,1
24,Month-to-month,DSL,36.4,0
40,Two year,DSL,45.04,0
19,One year,DSL,47.09,0
43,Month-to-month,Fiber optic,49.77,0
33,Month-to-month,Fiber optic,63.86,0
58,Month-to-month,No,26.92,0
13,Month-to-month,No,41.9,0
4,Month-to-month,Fiber optic,59.86,1
38,Month-to-month,Fiber optic,75.88,1
18,Month-to-month,Fiber optic,63.26,0
51,Two year,Fiber optic,64.65,1
6,One year,Fiber optic,59.47,1
41,Two year,DSL,32.47,0
72,One year,Fiber optic,64.3,0
6,One year,DSL,57.58,0
22,Month-to-month,No,15.94,0
61,One year,Fiber optic,59.07,0
38,Month-to-month,Fiber optic,72.51,0
12,Month-to-month,DSL,45.06,0
15,Two year,Fiber optic,69.18,0
55,Two year,DSL,48.05,0
62,Month-to-month,DSL,32.89,0
26,One year,Fiber optic,59.21,0
34,Month-to-month,DSL,56.84,0
57,Month-to-month,Fiber optic,68.25,0
12,Month-to-month,Fiber optic,77.16,1
15,Month-to-month,No,39.69,0
56,One year,Fiber optic,80.15,0
13,Month-to-month,Fiber optic,53.56,1
56,Month-to-month,Fiber optic,68.6,0
36,Two year,Fiber optic,82.49,0
72,Month-to-month,Fiber optic,76.27,0
2,Month-to-month,DSL,47.21,0
69,Month-to-month,Fiber optic,50.33,0
16,Month-to-month,DSL,37.6,0
2,Month-to-month,Fiber optic,70.83,1
52,One year,Fiber optic,52.89,0
38,Two year,No,34.52,0
61,Month-to-month,DSL,43.59,0
7,Month-to-month,DSL,21.24,1
5,Month-to-month,Fiber optic,63.2,0
41,Two year,DSL,41.56,1
64,Month-to-month,DSL,43.44,0
29,Month-to-month,DSL,62.04,0
58,Two year,DSL,51.94,0
66,One year,Fiber optic,53.61,0
63,Month-to-month,Fiber optic,52.13,1
37,Month-to-month,Fiber optic,66.8,0
50,Month-to-month,Fiber optic,71.51,0
38,Two year,Fiber optic,81.91,0
49,Month-to-month,Fiber optic,90.76,0
41,Month-to-month,Fiber optic,91.41,1
38,One year,DSL,39.69,1
31,Month-to-month,DSL,56.21,0
47,Month-to-month,DSL,50.11,0
54,Two year,Fiber optic,56.91,0
67,Month-to-month,DSL,22.35,0
44,Two year,No,26.73,0
7,One year,Fiber optic,52.06,0
42,Month-to-month,DSL,34.78,0
23,One year,Fiber optic,61.78,0
1,One year,DSL,47.63,0
5,One year,DSL,60.37,0
43,One year,DSL,45.15,0
68,Month-to-month,DSL,38.53,0
36,Month-to-month,Fiber optic,45.18,0
32,One year,DSL,50.5,0
6,Month-to-month,DSL,45.34,0
49,Month-to-month,DSL,38.4,0
4,Month-to-month,Fiber optic,83.99,1
61,Month-to-month,Fiber optic,55.71,0
59,One year,DSL,36.78,0
72,Two year,DSL,42.06,0
20,Two year,No,18.25,0
11,Month-to-month,Fiber optic,76.61,0
21,Month-to-month,DSL,50.57,0
58,Two year,DSL,57.61,0
15,Month-to-month,DSL,51.03,0
64,One year,DSL,43.62,0
11,One year,Fiber optic,65.92,0
3,Month-to-month,DSL,50.46,0
16,Month-to-month,DSL,42.72,0
55,One year,Fiber optic,70.57,0
43,Month-to-month,Fiber optic,76.12,0
25,Two year,DSL,46.66,1
47,One year,Fiber optic,73.7,0
47,Month-to-month,Fiber optic,60.51,0
40,One year,DSL,61.2,0
37,Month-to-month,No,11.72,0
7,Month-to-month,DSL,50.27,1
18,Two year,Fiber optic,64.17,1
38,One year,Fiber optic,82.99,0
9,One year,Fiber optic,80.6,1
34,Two year,Fiber optic,69.98,0
8,Month-to-month,DSL,63.66,0
57,Month-to-month,Fiber optic,67.75,0
7,Month-to-month,Fiber optic,80.58,0
6,Month-to-month,DSL,36.29,0
46,Month-to-month,Fiber optic,74.86,0
16,Month-to-month,Fiber optic,58.81,0
25,One year,Fiber optic,70.23,0
22,Month-to-month,Fiber optic,69.38,0
15,One year,Fiber optic,80.54,0
55,Two year,No,16.95,0
50,Two year,DSL,81.88,0
17,Month-to-month,DSL,28.41,1
50,Two year,DSL,47.8,0
52,Two year,Fiber optic,73.45,1
39,Month-to-month,DSL,51.46,0
42,Month-to-month,Fiber optic,63.82,0
68,Month-to-month,Fiber optic,72.9,0
33,One year,Fiber optic,63.23,1
28,One year,DSL,67.48,0
39,Month-to-month,Fiber optic,62.38,1
61,One year,Fiber optic,68.22,0
51,Month-to-month,Fiber optic,62.04,0
5,Month-to-month,Fiber optic,60.4,0
33,Two year,Fiber optic,53.19,0
54,Two year,DSL,53.06,0
16,One year,Fiber optic,61.93,0
72,Month-to-month,DSL,35.43,0
58,Month-to-month,Fiber optic,58.44,0
61,Month-to-month,Fiber optic,73.65,0
5,Month-to-month,DSL,45.26,0
42,Month-to-month,DSL,45.32,0
38,Two year,Fiber optic,60.86,0
45,One year,DSL,50.22,0
62,Month-to-month,DSL,37.05,0
25,Month-to-month,Fiber optic,70.84,0
38,Month-to-month,DSL,43.32,0
49,Month-to-month,Fiber optic,49.74,0
54,One year,DSL,69.35,0
56,Month-to-month,Fiber optic,76.9,0
24,Two year,No,,0
72,Month-to-month,DSL,49.06,0
0,Month-to-month,DSL,69.63,0
35,Two year,Fiber optic,83.64,0
44,Month-to-month,DSL,49.19,0
4,Month-to-month,Fiber optic,61.5,0
32,One year,Fiber optic,63.39,0
43,Month-to-month,Fiber optic,48.36,0
44,Month-to-month,DSL,40.58,0
8,Month-to-month,DSL,52.94,0
20,Month-to-month,No,32.6,0
17,Month-to-month,Fiber optic,77.39,1
46,Month-to-month,DSL,38.82,0
24,One year,DSL,51.61,0
41,Two year,DSL,54.89,0
53,Month-to-month,DSL,18.28,1
58,Month-to-month,Fiber optic,73.65,0
13,Month-to-month,DSL,69.97,1
65,Month-to-month,DSL,41.5,0
12,Month-to-month,DSL,14.74,0
1,One year,Fiber optic,60.25,0
3,Month-to-month,Fiber optic,48.23,1
14,Month-to-month,Fiber optic,62.39,0
63,One year,DSL,30.31,0
15,Two year,Fiber optic,81.17,0
50,Month-to-month,DSL,54.34,0
30,Month-to-month,Fiber optic,74.12,1
2,Two year,Fiber optic,84.71,0
32,Month-to-month,Fiber optic,63.22,1
2,One year,Fiber optic,70.88,1
34,One year,Fiber optic,96.33,1
40,Month-to-month,DSL,52.02,0
38,Month-to-month,No,31.99,0
20,Month-to-month,Fiber optic,60.79,1
55,Month-to-month,Fiber optic,65.0,0
43,Month-to-month,DSL,32.96,0
18,One year,Fiber optic,90.17,0
31,One year,DSL,26.3,0
7,Two year,DSL,55.97,0
67,Two year,DSL,51.97,0
54,One year,Fiber optic,50.76,0
21,Month-to-month,No,38.71,0
49,Month-to-month,No,21.9,0
49,One year,Fiber optic,54.15,0
44,One year,DSL,49.37,0
3,Month-to-month,Fiber optic,60.13,1
64,One year,Fiber optic,67.54,0
69,Month-to-month,No,18.93,0
71,Month-to-month,Fiber optic,59.45,0
71,Two year,Fiber optic,55.74,0
67,Month-to-month,Fiber optic,79.56,0
53,Month-to-month,DSL,48.9,0
4,One year,DSL,48.13,0
33,One year,DSL,40.63,0
17,Month-to-month,DSL,45.62,0
16,One year,Fiber optic,61.17,0
60,Month-to-month,DSL,35.96,0
59,One year,Fiber optic,90.52,0
38,Month-to-month,Fiber optic,80.61,1
53,Two year,DSL,38.26,0
9,One year,No,7.05,0
16,Month-to-month,DSL,24.59,0
62,Month-to-month,DSL,37.39,0
32,Month-to-month,Fiber optic,71.29,1
39,One year,Fiber optic,71.42,1
33,One year,DSL,46.78,0
14,One year,DSL,49.01,0
60,Two year,DSL,32.54,0
55,Month-to-month,DSL,63.09,0
49,One year,Fiber optic,67.63,0
25,Month-to-month,Fiber optic,73.54,0
46,One year,Fiber optic,62.13,0
69,Month-to-month,DSL,48.74,0
47,One year,No,49.92,0
36,Month-to-month,DSL,33.13,0
19,Month-to-month,DSL,31.61,0
38,Month-to-month,DSL,34.63,0
27,Two year,Fiber optic,66.0,1
44,Month-to-month,Fiber optic,63.74,1
3,Month-to-month,Fiber optic,57.51,1
13,Month-to-month,No,24.4,0
57,Month-to-month,Fiber optic,88.73,0
27,Two year,DSL,43.2,0
31,Two year,Fiber optic,68.84,1
39,Two year,DSL,49.12,0
31,Two year,Fiber optic,77.77,0
55,Month-to-month,No,41.48,0
17,Month-to-month,Fiber optic,72.88,0
55,One year,No,24.97,0
15,One year,DSL,33.1,0
27,Month-to-month,Fiber optic,78.88,0
42,One year,DSL,34.87,0
64,Month-to-month,DSL,34.49,0
16,Month-to-month,Fiber optic,72.32,0
42,Month-to-month,DSL,63.5,0
4,Two year,DSL,53.72,0
5,One year,DSL,44.55,0
56,Month-to-month,DSL,33.22,0
52,Two year,DSL,63.27,0
27,Two year,Fiber optic,69.32,0
45,Month-to-month,Fiber optic,66.52,1
27,One year,Fiber optic,76.66,0
20,Month-to-month,DSL,39.62,0
31,Month-to-month,Fiber optic,60.96,0
22,Month-to-month,Fiber optic,62.11,1
59,Month-to-month,DSL,37.08,0
30,Month-to-month,Fiber optic,56.47,0
23,Month-to-month,Fiber optic,55.13,0
39,Month-to-month,DSL,56.66,0
55,One year,DSL,53.03,0
19,One year,DSL,35.13,0
68,Month-to-month,Fiber optic,80.66,0
33,Month-to-month,DSL,48.71,0
48,Month-to-month,No,21.11,0
69,Two year,Fiber optic,55.29,0
31,Two year,Fiber optic,74.1,1
14,Month-to-month,Fiber optic,92.38,1
54,One year,DSL,45.17,0
0,One year,Fiber optic,81.98,0
33,Two year,DSL,42.46,0
71,Month-to-month,DSL,56.06,0
30,Month-to-month,No,23.2,0
49,One year,Fiber optic,41.14,0
38,Month-to-month,DSL,36.34,0
15,Month-to-month,No,26.59,0
23,Month-to-month,Fiber optic,82.99,0
38,Month-to-month,DSL,43.16,1
7,One year,Fiber optic,70.36,1
30,One year,Fiber optic,62.95,0
30,Month-to-month,Fiber optic,88.73,0
60,Two year,Fiber optic,88.01,0
9,Month-to-month,Fiber optic,61.89,0
61,Two year,DSL,26.8,0
29,Month-to-month,Fiber optic,48.31,0
47,Two year,Fiber optic,77.24,0
40,Two year,DSL,46.62,0
21,Two year,No,15.62,0
67,Two year,Fiber optic,73.26,1
16,Month-to-month,Fiber optic,55.24,1
2,One year,Fiber optic,79.54,0
54,One year,DSL,40.41,0
45,Month-to-month,DSL,32.02,0
65,Two year,Fiber optic,65.6,0
33,Month-to-month,Fiber optic,65.18,1
1,Month-to-month,DSL,49.38,1
1,Two year,DSL,58.99,0
31,Month-to-month,Fiber optic,83.37,1
18,Month-to-month,Fiber optic,71.92,1
67,Month-to-month,Fiber optic,67.75,0
8,One year,DSL,38.18,1
64,Two year,No,3.78,0
15,Month-to-month,Fiber optic,69.77,0
8,One year,No,14.79,0
20,One year,Fiber optic,84.62,1
10,One year,DSL,42.59,1
29,One year,DSL,53.97,0
24,Two year,DSL,39.21,0
38,Month-to-month,Fiber optic,61.89,0
39,Month-to-month,Fiber optic,77.26,0
0,One year,DSL,48.33,0
9,Month-to-month,DSL,48.87,0
11,Month-to-month,Fiber optic,68.87,1
14,Month-to-month,DSL,54.47,1
6,Month-to-month,Fiber optic,77.74,1
22,Two year,Fiber optic,43.88,0
40,Month-to-month,DSL,41.91,1
22,One year,Fiber optic,82.18,0
24,One year,Fiber optic,57.77,0
34,Month-to-month,Fiber optic,49.69,1
40,Month-to-month,No,23.33,0
24,Month-to-month,Fiber optic,76.25,1
16,Month-to-month,Fiber optic,64.47,1
29,Month-to-month,Fiber optic,85.52,0
1,One year,Fiber optic,92.12,1
35,Month-to-month,Fiber optic,46.9,0
68,Month-to-month,Fiber optic,65.39,1
29,Month-to-month,Fiber optic,42.62,0
7,Month-to-month,DSL,52.93,0
